year_founding,year_unicorn,company,sector,city
1985-01-01,2017-01-01,Avaloq,Fintech,Zürich
1993-01-01,2017-01-01,Zur Rose Group / Docmorris AG,Retail,Frauenfeld
1995-01-01,2021-01-01,AutoForm,ICT,Pfäffikon SZ
1997-01-01,2015-01-01,u-blox,Hightech,Thalwil
1997-01-01,2017-01-01,Actelion Pharmaceuticals,Life sciences,Allschwil
1998-01-01,2021-01-01,Sensirion,Hightech,Stäfa
2001-01-01,2018-01-01,Sportradar,ICT,St. Gallen
2003-01-01,2019-01-01,Acronis,ICT,Schaffhausen
2003-01-01,2019-01-01,Ypsomed,Medtech,Burgdorf
2004-01-01,2021-01-01,Nexthink,ICT,Prilly
2006-01-01,2022-01-01,South Pole,Cleantech,Zürich
2007-01-01,2015-01-01,Leonteq,Fintech,Zürich
2008-01-01,2022-01-01,Sonar,ICT,Vernier
2009-01-01,2022-01-01,Climeworks,Cleantech,Zürich
2009-01-01,2022-01-01,Scandit,ICT,Zürich
2010-01-01,2021-01-01,On Running,Fashion,Zürich
2011-01-01,2019-01-01,ADC Therapeutics,Life sciences,Epalinges
2011-01-01,2021-01-01,Sophia Genetics,Life sciences,Rolle
2012-01-01,2016-01-01,MindMaze,ICT,Lausanne
2012-01-01,2020-01-01,NBE-Therapeutics,Life sciences,Basel
2013-01-01,2018-01-01,CRISPR Therapeutics,Life sciences,Zug
2014-01-01,2019-01-01,Numbrs,ICT,Baar
2015-01-01,2018-01-01,Dfinity,ICT,Neuchâtel
2017-01-01,2018-01-01,Idorsia,Life sciences,Allschwil
2017-01-01,2022-01-01,Energy Vault,Cleantech,Lugano
2018-01-01,2022-01-01,21.co (21Shares),Fintech,Zürich
2019-01-01,2025-01-01,Sygnum,Fintech,Zürich
